year,month,week,day,building,floor,entrance,exit
2020,10,43,23,alaart,001_alaart2nd,2221,2801
2020,10,43,23,alaart,002_alaart3rd,2566,1955
2020,10,43,23,mbk,000_g,18139,17858
2020,10,43,23,mbk,001_2nd,29791,30006
2020,10,43,23,mbk,002_3rd,26518,27653
2020,10,43,23,mbk,003_4th,21520,20802
2020,10,43,23,mbk,004_5th,15902,15839
2020,10,43,23,mbk,005_6th,13061,13764
2020,10,43,23,mbk,006_7th,6227,6091
2020,10,43,23,mbk,007_8th,269,283
2020,10,43,23,mbk,008_m,168,172
2020,10,43,23,tokyu,000_tokyu,9684,9835
2020,10,43,23,tower,000_tower,165,134
2020,10,43,24,alaart,001_alaart2nd,2433,2960
2020,10,43,24,alaart,002_alaart3rd,2916,2330
2020,10,43,24,mbk,000_g,17911,17371
2020,10,43,24,mbk,001_2nd,30069,30254
2020,10,43,24,mbk,002_3rd,26320,27106
2020,10,43,24,mbk,003_4th,21014,20276
2020,10,43,24,mbk,004_5th,16486,16261
2020,10,43,24,mbk,005_6th,13406,14007
2020,10,43,24,mbk,006_7th,6623,6419
2020,10,43,24,mbk,007_8th,346,442
2020,10,43,24,mbk,008_m,114,121
2020,10,43,24,tokyu,000_tokyu,9783,9667
2020,10,43,24,tower,000_tower,155,144
2020,10,43,25,alaart,001_alaart2nd,1848,2359
2020,10,43,25,alaart,002_alaart3rd,2495,1952
2020,10,43,25,mbk,000_g,16943,16338
2020,10,43,25,mbk,001_2nd,27018,26402
2020,10,43,25,mbk,002_3rd,22976,24918
2020,10,43,25,mbk,003_4th,19054,18223
2020,10,43,25,mbk,004_5th,14375,14339
2020,10,43,25,mbk,005_6th,11768,12297
2020,10,43,25,mbk,006_7th,5600,5437
2020,10,43,25,mbk,007_8th,338,362
2020,10,43,25,mbk,008_m,130,138
2020,10,43,25,tokyu,000_tokyu,8723,8713
2020,10,43,25,tower,000_tower,251,233
2020,10,44,26,alaart,001_alaart2nd,1990,2421
2020,10,44,26,alaart,002_alaart3rd,2512,2028
2020,10,44,26,mbk,000_g,18520,17713
2020,10,44,26,mbk,001_2nd,25806,25145
2020,10,44,26,mbk,002_3rd,18364,19724
2020,10,44,26,mbk,003_4th,15650,15289
2020,10,44,26,mbk,004_5th,13230,13618
2020,10,44,26,mbk,005_6th,11775,12193
2020,10,44,26,mbk,006_7th,5930,5630
2020,10,44,26,mbk,007_8th,1258,1530
2020,10,44,26,mbk,008_m,324,350
2020,10,44,26,tokyu,000_tokyu,9689,9539
2020,10,44,26,tower,000_tower,2215,2073
2020,10,44,27,alaart,001_alaart2nd,2160,2667
2020,10,44,27,alaart,002_alaart3rd,2781,2245
2020,10,44,27,mbk,000_g,20306,19218
2020,10,44,27,mbk,001_2nd,27004,27250
2020,10,44,27,mbk,002_3rd,20690,20893
2020,10,44,27,mbk,003_4th,17243,16867
2020,10,44,27,mbk,004_5th,13919,14351
2020,10,44,27,mbk,005_6th,12729,13014
2020,10,44,27,mbk,006_7th,6093,5868
2020,10,44,27,mbk,007_8th,1382,1727
2020,10,44,27,mbk,008_m,315,359
2020,10,44,27,tokyu,000_tokyu,9582,9561
2020,10,44,27,tower,000_tower,2290,2210
2020,10,44,28,alaart,001_alaart2nd,2526,3096
2020,10,44,28,alaart,002_alaart3rd,3230,2608
2020,10,44,28,mbk,000_g,21371,20478
2020,10,44,28,mbk,001_2nd,29707,29660
2020,10,44,28,mbk,002_3rd,22439,23172
2020,10,44,28,mbk,003_4th,18812,18392
2020,10,44,28,mbk,004_5th,16257,16417
2020,10,44,28,mbk,005_6th,14589,15228
2020,10,44,28,mbk,006_7th,6741,6448
2020,10,44,28,mbk,007_8th,1392,1718
2020,10,44,28,mbk,008_m,362,405
2020,10,44,28,tokyu,000_tokyu,10796,10685
2020,10,44,28,tower,000_tower,2360,2319
2020,10,44,29,alaart,001_alaart2nd,2255,2762
2020,10,44,29,alaart,002_alaart3rd,2871,2359
2020,10,44,29,mbk,000_g,20258,19175
2020,10,44,29,mbk,001_2nd,28067,28641
2020,10,44,29,mbk,002_3rd,20894,21463
2020,10,44,29,mbk,003_4th,16952,16639
2020,10,44,29,mbk,004_5th,13776,14186
2020,10,44,29,mbk,005_6th,12444,12683
2020,10,44,29,mbk,006_7th,5764,5592
2020,10,44,29,mbk,007_8th,1387,1743
2020,10,44,29,mbk,008_m,412,431
2020,10,44,29,tokyu,000_tokyu,11220,11196
2020,10,44,29,tower,000_tower,2320,2261
2020,10,44,30,alaart,001_alaart2nd,2803,3540
2020,10,44,30,alaart,002_alaart3rd,3525,2813
2020,10,44,30,mbk,000_g,24000,23107
2020,10,44,30,mbk,001_2nd,33662,33064
2020,10,44,30,mbk,002_3rd,25876,27420
2020,10,44,30,mbk,003_4th,21126,20324
2020,10,44,30,mbk,004_5th,17344,17859
2020,10,44,30,mbk,005_6th,15885,16219
2020,10,44,30,mbk,006_7th,7841,7417
2020,10,44,30,mbk,007_8th,1560,2066
2020,10,44,30,mbk,008_m,324,357
2020,10,44,30,tokyu,000_tokyu,12622,12428
2020,10,44,30,tower,000_tower,2326,2272
2020,10,44,31,alaart,001_alaart2nd,3167,4012
2020,10,44,31,alaart,002_alaart3rd,4221,3323
2020,10,44,31,mbk,000_g,27968,26738
2020,10,44,31,mbk,001_2nd,37369,38572
2020,10,44,31,mbk,002_3rd,33412,33585
2020,10,44,31,mbk,003_4th,26668,25917
2020,10,44,31,mbk,004_5th,21779,21618
2020,10,44,31,mbk,005_6th,18568,19336
2020,10,44,31,mbk,006_7th,9051,8801
2020,10,44,31,mbk,007_8th,874,970
2020,10,44,31,mbk,008_m,201,216
2020,10,44,31,tokyu,000_tokyu,16364,16318
2020,10,44,31,tower,000_tower,319,326
