year,month,week,day,building,floor,zone,average_timespent
2020,10,43,23,alaart,001_alaart2nd,alaart2z,93.77876203922278
2020,10,43,23,alaart,002_alaart3rd,alaart3z,-225.32100077144787
2020,10,43,23,mbk,000_g,ga,719.6154960788299
2020,10,43,23,mbk,000_g,gb,413.3958177031782
2020,10,43,23,mbk,000_g,gc,1027.123652715174
2020,10,43,23,mbk,000_g,gd,527.7181467599476
2020,10,43,23,mbk,001_2nd,2a,-124.33277177752825
2020,10,43,23,mbk,001_2nd,2b,571.9309314283382
2020,10,43,23,mbk,001_2nd,2c,388.64705188122025
2020,10,43,23,mbk,001_2nd,2d,273.28139516670126
2020,10,43,23,mbk,002_3rd,3a,365.5749340199509
2020,10,43,23,mbk,002_3rd,3b,89.51323120910456
2020,10,43,23,mbk,002_3rd,3c,186.73626127307944
2020,10,43,23,mbk,002_3rd,3d,654.2802725498987
2020,10,43,23,mbk,003_4th,4a,1191.217465903239
2020,10,43,23,mbk,003_4th,4b,626.5748554298698
2020,10,43,23,mbk,003_4th,4c,685.6408375881547
2020,10,43,23,mbk,003_4th,4d,1502.0308696307657
2020,10,43,23,mbk,004_5th,5a,539.1813264309785
2020,10,43,23,mbk,004_5th,5b,590.8366414133488
2020,10,43,23,mbk,004_5th,5c,365.6386459730493
2020,10,43,23,mbk,004_5th,5d,608.6757197327825
2020,10,43,23,mbk,005_6th,6a,1994.8944653047001
2020,10,43,23,mbk,005_6th,6b,-57.12121752931853
2020,10,43,23,mbk,005_6th,6c,999.8818640035279
2020,10,43,23,mbk,005_6th,6d,759.5030461835886
2020,10,43,23,mbk,006_7th,7z,3663.075839621739
2020,10,43,23,mbk,007_8th,8z,-342.32389296832844
2020,10,43,23,mbk,008_m,mz,-630.3792912513818
2020,10,43,23,tokyu,000_tokyu,tokyu,376.1832049018558
2020,10,43,23,tower,000_tower,tower,5660.057937584796
2020,10,43,24,alaart,001_alaart2nd,alaart2z,345.0489702402774
2020,10,43,24,alaart,002_alaart3rd,alaart3z,-190.73241108697403
2020,10,43,24,mbk,000_g,ga,899.7974305476637
2020,10,43,24,mbk,000_g,gb,268.1102975749018
2020,10,43,24,mbk,000_g,gc,1050.172010733313
2020,10,43,24,mbk,000_g,gd,508.42252429691143
2020,10,43,24,mbk,001_2nd,2a,-26.62481327790738
2020,10,43,24,mbk,001_2nd,2b,1132.404576129822
2020,10,43,24,mbk,001_2nd,2c,439.0437980798779
2020,10,43,24,mbk,001_2nd,2d,-32.43673138725353
2020,10,43,24,mbk,002_3rd,3a,478.78873518814
2020,10,43,24,mbk,002_3rd,3b,-405.1290933965611
2020,10,43,24,mbk,002_3rd,3c,206.70553778776593
2020,10,43,24,mbk,002_3rd,3d,727.0113934851724
2020,10,43,24,mbk,003_4th,4a,1302.1676294258905
2020,10,43,24,mbk,003_4th,4b,527.279271764899
2020,10,43,24,mbk,003_4th,4c,677.3986317598901
2020,10,43,24,mbk,003_4th,4d,1284.9694727550013
2020,10,43,24,mbk,004_5th,5a,1019.648936554775
2020,10,43,24,mbk,004_5th,5b,314.7306352755659
2020,10,43,24,mbk,004_5th,5c,384.80802731377116
2020,10,43,24,mbk,004_5th,5d,725.1812115099237
2020,10,43,24,mbk,005_6th,6a,1872.1468355159232
2020,10,43,24,mbk,005_6th,6b,18.276844607200474
2020,10,43,24,mbk,005_6th,6c,973.7912254497824
2020,10,43,24,mbk,005_6th,6d,21.548650469219865
2020,10,43,24,mbk,006_7th,7z,3795.300113798032
2020,10,43,24,mbk,007_8th,8z,1393.8752517458743
2020,10,43,24,mbk,008_m,mz,-1276.0777874438172
2020,10,43,24,tokyu,000_tokyu,tokyu,144.98054320874144
2020,10,43,24,tower,000_tower,tower,2683.564829749106
2020,10,43,25,alaart,001_alaart2nd,alaart2z,165.60793286831904
2020,10,43,25,alaart,002_alaart3rd,alaart3z,117.70069565360245
2020,10,43,25,mbk,000_g,ga,789.4791243852524
2020,10,43,25,mbk,000_g,gb,275.2137461436614
2020,10,43,25,mbk,000_g,gc,1169.027982113672
2020,10,43,25,mbk,000_g,gd,701.874302797467
2020,10,43,25,mbk,001_2nd,2a,-129.48839563537695
2020,10,43,25,mbk,001_2nd,2b,1737.4095748008003
2020,10,43,25,mbk,001_2nd,2c,383.1302684687871
2020,10,43,25,mbk,001_2nd,2d,-32.995399112416635
2020,10,43,25,mbk,002_3rd,3a,544.5941748625119
2020,10,43,25,mbk,002_3rd,3b,-1118.5580101765663
2020,10,43,25,mbk,002_3rd,3c,238.33663974714727
2020,10,43,25,mbk,002_3rd,3d,739.0211919805188
2020,10,43,25,mbk,003_4th,4a,1142.4919136667704
2020,10,43,25,mbk,003_4th,4b,464.3150603522299
2020,10,43,25,mbk,003_4th,4c,964.4571004166537
2020,10,43,25,mbk,003_4th,4d,1032.0160563291793
2020,10,43,25,mbk,004_5th,5a,1084.128274148581
2020,10,43,25,mbk,004_5th,5b,469.52803892059455
2020,10,43,25,mbk,004_5th,5c,569.2643030976615
2020,10,43,25,mbk,004_5th,5d,793.9850183878771
2020,10,43,25,mbk,005_6th,6a,2129.030024043448
2020,10,43,25,mbk,005_6th,6b,32.517053173840395
2020,10,43,25,mbk,005_6th,6c,787.1082409094379
2020,10,43,25,mbk,005_6th,6d,262.9806156041923
2020,10,43,25,mbk,006_7th,7z,3828.422858358077
2020,10,43,25,mbk,007_8th,8z,268.4838504037398
2020,10,43,25,mbk,008_m,mz,851.9726867335594
2020,10,43,25,tokyu,000_tokyu,tokyu,130.30296376732804
2020,10,43,25,tower,000_tower,tower,1916.8350118837952
2020,10,44,26,alaart,001_alaart2nd,alaart2z,501.4050629022822
2020,10,44,26,alaart,002_alaart3rd,alaart3z,-292.62862598776337
2020,10,44,26,mbk,000_g,ga,946.1130998442422
2020,10,44,26,mbk,000_g,gb,307.7053532334685
2020,10,44,26,mbk,000_g,gc,1160.7478890150414
2020,10,44,26,mbk,000_g,gd,732.1771193166169
2020,10,44,26,mbk,001_2nd,2a,1385.7887981023268
2020,10,44,26,mbk,001_2nd,2b,1387.3575100657872
2020,10,44,26,mbk,001_2nd,2c,199.13997001188181
2020,10,44,26,mbk,001_2nd,2d,234.36171596118584
2020,10,44,26,mbk,002_3rd,3a,547.6337436169779
2020,10,44,26,mbk,002_3rd,3b,-170.7833062878599
2020,10,44,26,mbk,002_3rd,3c,298.0881829834907
2020,10,44,26,mbk,002_3rd,3d,599.4579762057074
2020,10,44,26,mbk,003_4th,4a,1472.6997472939438
2020,10,44,26,mbk,003_4th,4b,588.94602837188
2020,10,44,26,mbk,003_4th,4c,786.6235834077997
2020,10,44,26,mbk,003_4th,4d,1093.8439712334111
2020,10,44,26,mbk,004_5th,5a,900.8609810629714
2020,10,44,26,mbk,004_5th,5b,384.4658639851332
2020,10,44,26,mbk,004_5th,5c,811.7579924973033
2020,10,44,26,mbk,004_5th,5d,645.1761763219474
2020,10,44,26,mbk,005_6th,6a,1678.7580421811545
2020,10,44,26,mbk,005_6th,6b,184.87073795889955
2020,10,44,26,mbk,005_6th,6c,1328.2164166128168
2020,10,44,26,mbk,005_6th,6d,888.4114574223277
2020,10,44,26,mbk,006_7th,7z,2580.3577069960666
2020,10,44,26,mbk,007_8th,8z,4143.756403462288
2020,10,44,26,mbk,008_m,mz,607.4419576719556
2020,10,44,26,tokyu,000_tokyu,tokyu,231.77756094853612
2020,10,44,26,tower,000_tower,tower,3198.959022757397
2020,10,44,27,alaart,001_alaart2nd,alaart2z,389.094078344373
2020,10,44,27,alaart,002_alaart3rd,alaart3z,-11.816573487449205
2020,10,44,27,mbk,000_g,ga,891.1730766509427
2020,10,44,27,mbk,000_g,gb,204.9657152912041
2020,10,44,27,mbk,000_g,gc,1144.9063147104607
2020,10,44,27,mbk,000_g,gd,691.7722226372935
2020,10,44,27,mbk,001_2nd,2a,1650.3739157720374
2020,10,44,27,mbk,001_2nd,2b,2383.4494807073534
2020,10,44,27,mbk,001_2nd,2c,195.99284991342574
2020,10,44,27,mbk,001_2nd,2d,213.35738709701764
2020,10,44,27,mbk,002_3rd,3a,678.5960299667131
2020,10,44,27,mbk,002_3rd,3b,-1008.0198236351498
2020,10,44,27,mbk,002_3rd,3c,408.0185520646228
2020,10,44,27,mbk,002_3rd,3d,591.7616695104953
2020,10,44,27,mbk,003_4th,4a,1411.8184105619039
2020,10,44,27,mbk,003_4th,4b,433.9640513469312
2020,10,44,27,mbk,003_4th,4c,880.82125652389
2020,10,44,27,mbk,003_4th,4d,1052.3705070110118
2020,10,44,27,mbk,004_5th,5a,949.2568203664705
2020,10,44,27,mbk,004_5th,5b,172.37501299906944
2020,10,44,27,mbk,004_5th,5c,521.6079707073477
2020,10,44,27,mbk,004_5th,5d,520.7039356643581
2020,10,44,27,mbk,005_6th,6a,1826.045372964145
2020,10,44,27,mbk,005_6th,6b,22.037353048486693
2020,10,44,27,mbk,005_6th,6c,1609.7909993428111
2020,10,44,27,mbk,005_6th,6d,877.7348217459185
2020,10,44,27,mbk,006_7th,7z,2584.8361558924626
2020,10,44,27,mbk,007_8th,8z,4683.487094809014
2020,10,44,27,mbk,008_m,mz,1905.8399434054008
2020,10,44,27,tokyu,000_tokyu,tokyu,99.49829818263242
2020,10,44,27,tower,000_tower,tower,3148.969728704382
2020,10,44,28,alaart,001_alaart2nd,alaart2z,444.16995878522357
2020,10,44,28,alaart,002_alaart3rd,alaart3z,3.3453315827464394
2020,10,44,28,mbk,000_g,ga,918.821187067646
2020,10,44,28,mbk,000_g,gb,149.51786555517901
2020,10,44,28,mbk,000_g,gc,1147.8775358889288
2020,10,44,28,mbk,000_g,gd,772.8684368492832
2020,10,44,28,mbk,001_2nd,2a,1615.6670823335517
2020,10,44,28,mbk,001_2nd,2b,2101.6013707557504
2020,10,44,28,mbk,001_2nd,2c,24.374807556374435
2020,10,44,28,mbk,001_2nd,2d,172.6938268474696
2020,10,44,28,mbk,002_3rd,3a,390.78881639741667
2020,10,44,28,mbk,002_3rd,3b,-776.5094189557676
2020,10,44,28,mbk,002_3rd,3c,412.94350030755595
2020,10,44,28,mbk,002_3rd,3d,520.2238126276716
2020,10,44,28,mbk,003_4th,4a,1377.3350494970946
2020,10,44,28,mbk,003_4th,4b,398.35516801015547
2020,10,44,28,mbk,003_4th,4c,745.3745658854095
2020,10,44,28,mbk,003_4th,4d,1000.6982873795569
2020,10,44,28,mbk,004_5th,5a,1029.4350547231807
2020,10,44,28,mbk,004_5th,5b,434.4809746703395
2020,10,44,28,mbk,004_5th,5c,368.09209329746227
2020,10,44,28,mbk,004_5th,5d,291.87876185877394
2020,10,44,28,mbk,005_6th,6a,1703.7188899493885
2020,10,44,28,mbk,005_6th,6b,-91.90169248323582
2020,10,44,28,mbk,005_6th,6c,1489.0370090342185
2020,10,44,28,mbk,005_6th,6d,189.3920047832362
2020,10,44,28,mbk,006_7th,7z,2824.092124256844
2020,10,44,28,mbk,007_8th,8z,4168.353661535064
2020,10,44,28,mbk,008_m,mz,1375.437869176727
2020,10,44,28,tokyu,000_tokyu,tokyu,398.82861843585124
2020,10,44,28,tower,000_tower,tower,3571.173364651626
2020,10,44,29,alaart,001_alaart2nd,alaart2z,265.33763637326774
2020,10,44,29,alaart,002_alaart3rd,alaart3z,252.6249009809835
2020,10,44,29,mbk,000_g,ga,809.6415562006077
2020,10,44,29,mbk,000_g,gb,251.266699326854
2020,10,44,29,mbk,000_g,gc,1082.4363908222695
2020,10,44,29,mbk,000_g,gd,504.54814329228975
2020,10,44,29,mbk,001_2nd,2a,1312.1473411029292
2020,10,44,29,mbk,001_2nd,2b,2059.4089398078177
2020,10,44,29,mbk,001_2nd,2c,50.72073714558064
2020,10,44,29,mbk,001_2nd,2d,192.64823514917953
2020,10,44,29,mbk,002_3rd,3a,499.4793767596566
2020,10,44,29,mbk,002_3rd,3b,-984.8518258550357
2020,10,44,29,mbk,002_3rd,3c,411.13948232513576
2020,10,44,29,mbk,002_3rd,3d,596.2898270287515
2020,10,44,29,mbk,003_4th,4a,1447.8925428665934
2020,10,44,29,mbk,003_4th,4b,434.88878171808756
2020,10,44,29,mbk,003_4th,4c,778.9099689003233
2020,10,44,29,mbk,003_4th,4d,1253.006067597751
2020,10,44,29,mbk,004_5th,5a,803.5311860539332
2020,10,44,29,mbk,004_5th,5b,413.8127026349648
2020,10,44,29,mbk,004_5th,5c,360.43952520538005
2020,10,44,29,mbk,004_5th,5d,415.86014433113814
2020,10,44,29,mbk,005_6th,6a,1719.289367811827
2020,10,44,29,mbk,005_6th,6b,244.54170640404845
2020,10,44,29,mbk,005_6th,6c,1041.9010222030447
2020,10,44,29,mbk,005_6th,6d,908.5161817587432
2020,10,44,29,mbk,006_7th,7z,2401.6990317286836
2020,10,44,29,mbk,007_8th,8z,4291.973931362489
2020,10,44,29,mbk,008_m,mz,388.0087119590935
2020,10,44,29,tokyu,000_tokyu,tokyu,334.67796181737504
2020,10,44,29,tower,000_tower,tower,3665.7151927740233
2020,10,44,30,alaart,001_alaart2nd,alaart2z,270.05852889659946
2020,10,44,30,alaart,002_alaart3rd,alaart3z,166.77549926506254
2020,10,44,30,mbk,000_g,ga,1131.6562533094184
2020,10,44,30,mbk,000_g,gb,221.59887799091302
2020,10,44,30,mbk,000_g,gc,1076.877971320333
2020,10,44,30,mbk,000_g,gd,625.8907128338724
2020,10,44,30,mbk,001_2nd,2a,966.4384659376847
2020,10,44,30,mbk,001_2nd,2b,1429.7212386379433
2020,10,44,30,mbk,001_2nd,2c,144.6569090742123
2020,10,44,30,mbk,001_2nd,2d,182.32798745642867
2020,10,44,30,mbk,002_3rd,3a,494.8207456461096
2020,10,44,30,mbk,002_3rd,3b,143.2444920950038
2020,10,44,30,mbk,002_3rd,3c,97.50472591194921
2020,10,44,30,mbk,002_3rd,3d,618.3514139429535
2020,10,44,30,mbk,003_4th,4a,1314.1239858900663
2020,10,44,30,mbk,003_4th,4b,-9.208595037296618
2020,10,44,30,mbk,003_4th,4c,804.5189656034017
2020,10,44,30,mbk,003_4th,4d,1053.460060460031
2020,10,44,30,mbk,004_5th,5a,1015.9352485024174
2020,10,44,30,mbk,004_5th,5b,282.65999529270266
2020,10,44,30,mbk,004_5th,5c,501.00382694456493
2020,10,44,30,mbk,004_5th,5d,358.00937412416897
2020,10,44,30,mbk,005_6th,6a,1589.649849014375
2020,10,44,30,mbk,005_6th,6b,-24.657867170495592
2020,10,44,30,mbk,005_6th,6c,1255.9727445082426
2020,10,44,30,mbk,005_6th,6d,-115.92422090089894
2020,10,44,30,mbk,006_7th,7z,2577.1756918725987
2020,10,44,30,mbk,007_8th,8z,3446.228993844168
2020,10,44,30,mbk,008_m,mz,-602.3871511567595
2020,10,44,30,tokyu,000_tokyu,tokyu,412.99195285819223
2020,10,44,30,tower,000_tower,tower,2355.667729236553
2020,10,44,31,alaart,001_alaart2nd,alaart2z,133.7530630401161
2020,10,44,31,alaart,002_alaart3rd,alaart3z,211.35615054857772
2020,10,44,31,mbk,000_g,ga,862.3430446511593
2020,10,44,31,mbk,000_g,gb,191.91200702547212
2020,10,44,31,mbk,000_g,gc,947.6844536977151
2020,10,44,31,mbk,000_g,gd,590.1972039540524
2020,10,44,31,mbk,001_2nd,2a,-26.554729880324885
2020,10,44,31,mbk,001_2nd,2b,1398.470644281093
2020,10,44,31,mbk,001_2nd,2c,323.08953051788194
2020,10,44,31,mbk,001_2nd,2d,113.41381074168021
2020,10,44,31,mbk,002_3rd,3a,480.5390160733259
2020,10,44,31,mbk,002_3rd,3b,-575.0300283649922
2020,10,44,31,mbk,002_3rd,3c,66.3227884586995
2020,10,44,31,mbk,002_3rd,3d,633.6949085505476
2020,10,44,31,mbk,003_4th,4a,1180.3513920801743
2020,10,44,31,mbk,003_4th,4b,231.85474582892857
2020,10,44,31,mbk,003_4th,4c,698.6758269097809
2020,10,44,31,mbk,003_4th,4d,938.8920846354013
2020,10,44,31,mbk,004_5th,5a,802.6626618554583
2020,10,44,31,mbk,004_5th,5b,359.1059533859443
2020,10,44,31,mbk,004_5th,5c,106.01423048827564
2020,10,44,31,mbk,004_5th,5d,162.62784631309114
2020,10,44,31,mbk,005_6th,6a,1579.1205295539621
2020,10,44,31,mbk,005_6th,6b,-122.87077447650881
2020,10,44,31,mbk,005_6th,6c,939.4779793125599
2020,10,44,31,mbk,005_6th,6d,734.9597138842983
2020,10,44,31,mbk,006_7th,7z,2885.6914553971656
2020,10,44,31,mbk,007_8th,8z,52.63099624902679
2020,10,44,31,mbk,008_m,mz,636.0717247097818
2020,10,44,31,tokyu,000_tokyu,tokyu,99.36796119562496
2020,10,44,31,tower,000_tower,tower,4923.0742446679615
