year,month,week,day,building,floor,zone,net_shopping_hour
2020,10,43,23,alaart,001_alaart2nd,alaart2z,72.96508679773973
2020,10,43,23,alaart,002_alaart3rd,alaart3z,0.0
2020,10,43,23,mbk,000_g,ga,958.6877553316857
2020,10,43,23,mbk,000_g,gb,1607.9948986937789
2020,10,43,23,mbk,000_g,gc,2989.5004536526653
2020,10,43,23,mbk,000_g,gd,879.2370678517127
2020,10,43,23,mbk,001_2nd,2a,0.0
2020,10,43,23,mbk,001_2nd,2b,3262.3893546891463
2020,10,43,23,mbk,001_2nd,2c,1618.7149710852823
2020,10,43,23,mbk,001_2nd,2d,294.6125262894355
2020,10,43,23,mbk,002_3rd,3a,1127.595574265982
2020,10,43,23,mbk,002_3rd,3b,478.3736264533229
2020,10,43,23,mbk,002_3rd,3c,532.5095717303982
2020,10,43,23,mbk,002_3rd,3d,1700.4017305491254
2020,10,43,23,mbk,003_4th,4a,3204.3749832797125
2020,10,43,23,mbk,003_4th,4b,3534.5783789082766
2020,10,43,23,mbk,003_4th,4c,3377.9238598509755
2020,10,43,23,mbk,003_4th,4d,3582.7608548664957
2020,10,43,23,mbk,004_5th,5a,843.6690032738061
2020,10,43,23,mbk,004_5th,5b,1644.1670760219247
2020,10,43,23,mbk,004_5th,5c,601.3740063351179
2020,10,43,23,mbk,004_5th,5d,392.42676263883004
2020,10,43,23,mbk,005_6th,6a,3168.003238374158
2020,10,43,23,mbk,005_6th,6b,0.0
2020,10,43,23,mbk,005_6th,6c,1886.9992733444356
2020,10,43,23,mbk,005_6th,6d,444.30928201739937
2020,10,43,23,mbk,006_7th,7z,6197.7208164266685
2020,10,43,23,mbk,007_8th,8z,0.0
2020,10,43,23,mbk,008_m,mz,0.0
2020,10,43,23,tokyu,000_tokyu,tokyu,1027.711616724931
2020,10,43,23,tower,000_tower,tower,210.67993434343407
2020,10,43,24,alaart,001_alaart2nd,alaart2z,283.7069310864503
2020,10,43,24,alaart,002_alaart3rd,alaart3z,0.0
2020,10,43,24,mbk,000_g,ga,1205.4786132031618
2020,10,43,24,mbk,000_g,gb,1025.7453134719785
2020,10,43,24,mbk,000_g,gc,3051.916548969978
2020,10,43,24,mbk,000_g,gd,826.1866019824811
2020,10,43,24,mbk,001_2nd,2a,0.0
2020,10,43,24,mbk,001_2nd,2b,6654.449668896218
2020,10,43,24,mbk,001_2nd,2c,1808.4945782573636
2020,10,43,24,mbk,001_2nd,2d,0.0
2020,10,43,24,mbk,002_3rd,3a,1416.5496718024665
2020,10,43,24,mbk,002_3rd,3b,0.0
2020,10,43,24,mbk,002_3rd,3c,567.9234650718869
2020,10,43,24,mbk,002_3rd,3d,1860.543324494137
2020,10,43,24,mbk,003_4th,4a,3311.8463375065153
2020,10,43,24,mbk,003_4th,4b,3015.1586357089473
2020,10,43,24,mbk,003_4th,4c,3035.4985354307078
2020,10,43,24,mbk,003_4th,4d,2735.5572331095364
2020,10,43,24,mbk,004_5th,5a,1645.3168534574133
2020,10,43,24,mbk,004_5th,5b,909.3092604169891
2020,10,43,24,mbk,004_5th,5c,601.7969982712588
2020,10,43,24,mbk,004_5th,5d,424.2310087333054
2020,10,43,24,mbk,005_6th,6a,3157.6876625701907
2020,10,43,24,mbk,005_6th,6b,54.1451521488314
2020,10,43,24,mbk,005_6th,6c,1774.7345083822286
2020,10,43,24,mbk,005_6th,6d,11.025726156750832
2020,10,43,24,mbk,006_7th,7z,6767.230952908212
2020,10,43,24,mbk,007_8th,8z,171.13690590879898
2020,10,43,24,mbk,008_m,mz,0.0
2020,10,43,24,tokyu,000_tokyu,tokyu,389.31303088858436
2020,10,43,24,tower,000_tower,tower,107.34259318996425
2020,10,43,25,alaart,001_alaart2nd,alaart2z,108.51919823232352
2020,10,43,25,alaart,002_alaart3rd,alaart3z,63.819932754397776
2020,10,43,25,mbk,000_g,ga,995.6208957525126
2020,10,43,25,mbk,000_g,gb,961.4898014580082
2020,10,43,25,mbk,000_g,gc,3134.94337203483
2020,10,43,25,mbk,000_g,gd,1122.0240590553951
2020,10,43,25,mbk,001_2nd,2a,0.0
2020,10,43,25,mbk,001_2nd,2b,9092.9260552283
2020,10,43,25,mbk,001_2nd,2c,1397.0419539416023
2020,10,43,25,mbk,001_2nd,2d,0.0
2020,10,43,25,mbk,002_3rd,3a,1432.282679888406
2020,10,43,25,mbk,002_3rd,3b,0.0
2020,10,43,25,mbk,002_3rd,3c,582.2696518267112
2020,10,43,25,mbk,002_3rd,3d,1659.513143325143
2020,10,43,25,mbk,003_4th,4a,2829.254280649794
2020,10,43,25,mbk,003_4th,4b,2467.4476165551414
2020,10,43,25,mbk,003_4th,4c,4087.1548677656856
2020,10,43,25,mbk,003_4th,4d,2083.2390781511517
2020,10,43,25,mbk,004_5th,5a,1610.8339273391002
2020,10,43,25,mbk,004_5th,5b,1255.3353818363119
2020,10,43,25,mbk,004_5th,5c,816.5780169989789
2020,10,43,25,mbk,004_5th,5d,421.0326111395715
2020,10,43,25,mbk,005_6th,6a,3184.082680402757
2020,10,43,25,mbk,005_6th,6b,87.37151537515504
2020,10,43,25,mbk,005_6th,6c,1328.4637977127068
2020,10,43,25,mbk,005_6th,6d,120.82498283592612
2020,10,43,25,mbk,006_7th,7z,5781.981966914685
2020,10,43,25,mbk,007_8th,8z,26.99754273504272
2020,10,43,25,mbk,008_m,mz,32.658952991453106
2020,10,43,25,tokyu,000_tokyu,tokyu,315.369367584647
2020,10,43,25,tower,000_tower,tower,124.06182160247896
2020,10,44,26,alaart,001_alaart2nd,alaart2z,337.19490480178484
2020,10,44,26,alaart,002_alaart3rd,alaart3z,0.0
2020,10,44,26,mbk,000_g,ga,1511.6784861955782
2020,10,44,26,mbk,000_g,gb,1019.6158774227904
2020,10,44,26,mbk,000_g,gc,3079.85106551991
2020,10,44,26,mbk,000_g,gd,1298.3940915881342
2020,10,44,26,mbk,001_2nd,2a,3541.075320484251
2020,10,44,26,mbk,001_2nd,2b,5925.1726992393
2020,10,44,26,mbk,001_2nd,2c,672.8165153484773
2020,10,44,26,mbk,001_2nd,2d,242.69457697313914
2020,10,44,26,mbk,002_3rd,3a,1188.0609826801658
2020,10,44,26,mbk,002_3rd,3b,0.0
2020,10,44,26,mbk,002_3rd,3c,571.1700795055887
2020,10,44,26,mbk,002_3rd,3d,1301.656388888893
2020,10,44,26,mbk,003_4th,4a,3040.7158948988567
2020,10,44,26,mbk,003_4th,4b,2457.377303381669
2020,10,44,26,mbk,003_4th,4c,2896.741345899223
2020,10,44,26,mbk,003_4th,4d,2158.8226154481627
2020,10,44,26,mbk,004_5th,5a,1676.1019030999394
2020,10,44,26,mbk,004_5th,5b,790.3977387094363
2020,10,44,26,mbk,004_5th,5c,1103.314404802585
2020,10,44,26,mbk,004_5th,5d,372.7684574304585
2020,10,44,26,mbk,005_6th,6a,2625.391049299972
2020,10,44,26,mbk,005_6th,6b,393.26114202479243
2020,10,44,26,mbk,005_6th,6c,2090.096111142113
2020,10,44,26,mbk,005_6th,6d,451.60915752301656
2020,10,44,26,mbk,006_7th,7z,4035.39274732996
2020,10,44,26,mbk,007_8th,8z,1761.0964714714723
2020,10,44,26,mbk,008_m,mz,59.05685699588457
2020,10,44,26,tokyu,000_tokyu,tokyu,614.1461538578017
2020,10,44,26,tower,000_tower,tower,1842.0672372711347
2020,10,44,27,alaart,001_alaart2nd,alaart2z,288.253863040123
2020,10,44,27,alaart,002_alaart3rd,alaart3z,0.0
2020,10,44,27,mbk,000_g,ga,1494.942836081956
2020,10,44,27,mbk,000_g,gb,775.4536228517222
2020,10,44,27,mbk,000_g,gc,3359.982004143338
2020,10,44,27,mbk,000_g,gd,1286.6963341053658
2020,10,44,27,mbk,001_2nd,2a,4564.200751507335
2020,10,44,27,mbk,001_2nd,2b,10548.08809073043
2020,10,44,27,mbk,001_2nd,2c,681.8373478654845
2020,10,44,27,mbk,001_2nd,2d,230.07038241961737
2020,10,44,27,mbk,002_3rd,3a,1586.029721149979
2020,10,44,27,mbk,002_3rd,3b,0.0
2020,10,44,27,mbk,002_3rd,3c,902.0610155228702
2020,10,44,27,mbk,002_3rd,3d,1440.2821522919332
2020,10,44,27,mbk,003_4th,4a,3092.6666626919928
2020,10,44,27,mbk,003_4th,4b,2024.5628451032528
2020,10,44,27,mbk,003_4th,4c,3464.0742638514544
2020,10,44,27,mbk,003_4th,4d,2260.842639228657
2020,10,44,27,mbk,004_5th,5a,1754.2793405272578
2020,10,44,27,mbk,004_5th,5b,390.62093223511346
2020,10,44,27,mbk,004_5th,5c,715.1824842809634
2020,10,44,27,mbk,004_5th,5d,304.3225223993915
2020,10,44,27,mbk,005_6th,6a,2864.862296250414
2020,10,44,27,mbk,005_6th,6b,52.09385401183938
2020,10,44,27,mbk,005_6th,6c,2876.6070829923065
2020,10,44,27,mbk,005_6th,6d,483.9732281015689
2020,10,44,27,mbk,006_7th,7z,4213.282934104714
2020,10,44,27,mbk,007_8th,8z,2246.7728368708795
2020,10,44,27,mbk,008_m,mz,190.0545943562608
2020,10,44,27,tokyu,000_tokyu,tokyu,264.2508969233746
2020,10,44,27,tower,000_tower,tower,1933.1175278990788
2020,10,44,28,alaart,001_alaart2nd,alaart2z,381.98616455529225
2020,10,44,28,alaart,002_alaart3rd,alaart3z,2.4235068799451986
2020,10,44,28,mbk,000_g,ga,1695.2250901398068
2020,10,44,28,mbk,000_g,gb,588.6019974022214
2020,10,44,28,mbk,000_g,gc,3584.885315555341
2020,10,44,28,mbk,000_g,gd,1528.1326481925548
2020,10,44,28,mbk,001_2nd,2a,4768.910671354533
2020,10,44,28,mbk,001_2nd,2b,10617.173369426342
2020,10,44,28,mbk,001_2nd,2c,100.60701818893548
2020,10,44,28,mbk,001_2nd,2d,210.78240976882816
2020,10,44,28,mbk,002_3rd,3a,977.2976983405395
2020,10,44,28,mbk,002_3rd,3b,0.0
2020,10,44,28,mbk,002_3rd,3c,1000.6997490786439
2020,10,44,28,mbk,002_3rd,3d,1340.587863818586
2020,10,44,28,mbk,003_4th,4a,3204.2169554272687
2020,10,44,28,mbk,003_4th,4b,1967.4319131168234
2020,10,44,28,mbk,003_4th,4c,3229.1282582080134
2020,10,44,28,mbk,003_4th,4d,2261.3001577313044
2020,10,44,28,mbk,004_5th,5a,2017.4067530755665
2020,10,44,28,mbk,004_5th,5b,1090.4265572629215
2020,10,44,28,mbk,004_5th,5c,689.661435914273
2020,10,44,28,mbk,004_5th,5d,219.71984573257706
2020,10,44,28,mbk,005_6th,6a,2990.4999071083853
2020,10,44,28,mbk,005_6th,6b,0.0
2020,10,44,28,mbk,005_6th,6c,4393.4864194337415
2020,10,44,28,mbk,005_6th,6d,243.10568169537066
2020,10,44,28,mbk,006_7th,7z,5058.262782557814
2020,10,44,28,mbk,007_8th,8z,1989.2309973658998
2020,10,44,28,mbk,008_m,mz,154.7367602823818
2020,10,44,28,tokyu,000_tokyu,tokyu,1183.745496663075
2020,10,44,28,tower,000_tower,tower,2300.4308423964226
2020,10,44,29,alaart,001_alaart2nd,alaart2z,203.5729310174904
2020,10,44,29,alaart,002_alaart3rd,alaart3z,165.53948372615005
2020,10,44,29,mbk,000_g,ga,1512.2305066369129
2020,10,44,29,mbk,000_g,gb,966.3298478278592
2020,10,44,29,mbk,000_g,gc,3161.0149379762556
2020,10,44,29,mbk,000_g,gd,914.6336619793008
2020,10,44,29,mbk,001_2nd,2a,4078.591318594938
2020,10,44,29,mbk,001_2nd,2b,10219.816863796295
2020,10,44,29,mbk,001_2nd,2c,192.37248471826612
2020,10,44,29,mbk,001_2nd,2d,207.5249599745884
2020,10,44,29,mbk,002_3rd,3a,1297.1201925905636
2020,10,44,29,mbk,002_3rd,3b,0.0
2020,10,44,29,mbk,002_3rd,3c,948.2475338182229
2020,10,44,29,mbk,002_3rd,3d,1458.5911713375515
2020,10,44,29,mbk,003_4th,4a,3254.540682465687
2020,10,44,29,mbk,003_4th,4b,1988.166547087857
2020,10,44,29,mbk,003_4th,4c,3031.257962303758
2020,10,44,29,mbk,003_4th,4d,2574.927468913379
2020,10,44,29,mbk,004_5th,5a,1509.0762080307343
2020,10,44,29,mbk,004_5th,5b,931.4234248475333
2020,10,44,29,mbk,004_5th,5c,491.19897518266515
2020,10,44,29,mbk,004_5th,5d,223.40931087122812
2020,10,44,29,mbk,005_6th,6a,2711.70139734321
2020,10,44,29,mbk,005_6th,6b,567.2688306056135
2020,10,44,29,mbk,005_6th,6c,1818.117283744313
2020,10,44,29,mbk,005_6th,6d,452.23916603101884
2020,10,44,29,mbk,006_7th,7z,3730.6391626185555
2020,10,44,29,mbk,007_8th,8z,2078.030711768005
2020,10,44,29,mbk,008_m,mz,46.45326523732481
2020,10,44,29,tokyu,000_tokyu,tokyu,1040.8484612520363
2020,10,44,29,tower,000_tower,tower,2302.2727919061294
2020,10,44,30,alaart,001_alaart2nd,alaart2z,265.55755341498946
2020,10,44,30,alaart,002_alaart3rd,alaart3z,130.31652206461692
2020,10,44,30,mbk,000_g,ga,2586.148887771274
2020,10,44,30,mbk,000_g,gb,1046.0698146048821
2020,10,44,30,mbk,000_g,gc,3851.9326768588685
2020,10,44,30,mbk,000_g,gd,1343.4048716853697
2020,10,44,30,mbk,001_2nd,2a,3248.3070660683293
2020,10,44,30,mbk,001_2nd,2b,8318.594740141767
2020,10,44,30,mbk,001_2nd,2c,658.2693012371517
2020,10,44,30,mbk,001_2nd,2d,231.65783739602912
2020,10,44,30,mbk,002_3rd,3a,1450.6494859858444
2020,10,44,30,mbk,002_3rd,3b,744.7917786206337
2020,10,44,30,mbk,002_3rd,3c,285.2284079385381
2020,10,44,30,mbk,002_3rd,3d,1831.0072423977458
2020,10,44,30,mbk,003_4th,4a,3435.7041542214733
2020,10,44,30,mbk,003_4th,4b,0.0
2020,10,44,30,mbk,003_4th,4c,3804.704274832754
2020,10,44,30,mbk,003_4th,4d,2570.4425475224757
2020,10,44,30,mbk,004_5th,5a,2100.7283305144433
2020,10,44,30,mbk,004_5th,5b,802.2832866391211
2020,10,44,30,mbk,004_5th,5c,889.5601282860165
2020,10,44,30,mbk,004_5th,5d,242.75024506586013
2020,10,44,30,mbk,005_6th,6a,3012.8280332847444
2020,10,44,30,mbk,005_6th,6b,0.0
2020,10,44,30,mbk,005_6th,6c,2642.078220600256
2020,10,44,30,mbk,005_6th,6d,0.0
2020,10,44,30,mbk,006_7th,7z,5309.697807394185
2020,10,44,30,mbk,007_8th,8z,1977.7525281339033
2020,10,44,30,mbk,008_m,mz,0.0
2020,10,44,30,tokyu,000_tokyu,tokyu,1425.7399972560038
2020,10,44,30,tower,000_tower,tower,1486.6880780070687
2020,10,44,31,alaart,001_alaart2nd,alaart2z,149.06035803248494
2020,10,44,31,alaart,002_alaart3rd,alaart3z,195.09346896470103
2020,10,44,31,mbk,000_g,ga,2762.8512991684643
2020,10,44,31,mbk,000_g,gb,1096.244031242169
2020,10,44,31,mbk,000_g,gc,3676.2259433023864
2020,10,44,31,mbk,000_g,gd,1226.9544095533688
2020,10,44,31,mbk,001_2nd,2a,0.0
2020,10,44,31,mbk,001_2nd,2b,9958.27637948495
2020,10,44,31,mbk,001_2nd,2c,1727.6315173525632
2020,10,44,31,mbk,001_2nd,2d,184.7699999999873
2020,10,44,31,mbk,002_3rd,3a,1912.2783178517966
2020,10,44,31,mbk,002_3rd,3b,0.0
2020,10,44,31,mbk,002_3rd,3c,246.241775149716
2020,10,44,31,mbk,002_3rd,3d,2135.9038945423176
2020,10,44,31,mbk,003_4th,4a,3495.1516221040715
2020,10,44,31,mbk,003_4th,4b,1636.1216563994726
2020,10,44,31,mbk,003_4th,4c,4169.930226939876
2020,10,44,31,mbk,003_4th,4d,2633.8531007591437
2020,10,44,31,mbk,004_5th,5a,1703.6514997882102
2020,10,44,31,mbk,004_5th,5b,1361.8095765624753
2020,10,44,31,mbk,004_5th,5c,233.1724102794907
2020,10,44,31,mbk,004_5th,5d,116.54995652438198
2020,10,44,31,mbk,005_6th,6a,3446.8692003430647
2020,10,44,31,mbk,005_6th,6b,0.0
2020,10,44,31,mbk,005_6th,6c,2375.313491028589
2020,10,44,31,mbk,005_6th,6d,527.7419056641419
2020,10,44,31,mbk,006_7th,7z,7054.714027486238
2020,10,44,31,mbk,007_8th,8z,14.181129544876663
2020,10,44,31,mbk,008_m,mz,38.16430348258691
2020,10,44,31,tokyu,000_tokyu,tokyu,450.41288633061333
2020,10,44,31,tower,000_tower,tower,445.81172326715426
